Mabopane  Unit X,"{'address': 'Mabopane, South Africa', 'bbox': {'northeast': [-25.35941505432129, 28.091928482055664], 'southwest': [-25.55122184753418, 27.945634841918945]}, 'city': 'Mabopane', 'confidence': 1, 'country': 'South Africa', 'lat': -25.5087986, 'lng': 28.06579208, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-25.55122184753418, 27.945634841918945, -25.35941505432129, 28.091928482055664], 'name': 'Mabopane, South Africa', 'point': {'type': 'Point', 'coordinates': [-25.5087986, 28.06579208]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Tshwane', 'countryRegion': 'South Africa', 'formattedAddress': 'Mabopane, South Africa', 'locality': 'Mabopane'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [-25.5087986, 28.06579208], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Midlands Estate,"{'address': 'Midlands Estate, South Africa', 'bbox': {'northeast': [-25.920024871826172, 28.20144271850586], 'southwest': [-25.94087028503418, 28.175996780395508]}, 'city': 'Brakpan', 'confidence': 7, 'country': 'South Africa', 'lat': -25.93249893, 'lng': 28.18990135, 'neighborhood': 'Midlands Estate', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-25.94087028503418, 28.175996780395508, -25.920024871826172, 28.20144271850586], 'name': 'Midlands Estate, South Africa', 'point': {'type': 'Point', 'coordinates': [-25.93249893, 28.18990135]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'Ekurhuleni', 'countryRegion': 'South Africa', 'formattedAddress': 'Midlands Estate, South Africa', 'locality': 'Brakpan', 'neighborhood': 'Midlands Estate'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-25.93249893, 28.18990135], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Magaliesberg Country Estate,"{'address': 'Magaliesberg Country Estate, South Africa', 'bbox': {'northeast': [-25.667055130004883, 28.090818405151367], 'southwest': [-25.67864227294922, 28.073335647583008]}, 'city': 'City of Tshwane', 'confidence': 7, 'country': 'South Africa', 'lat': -25.6695652, 'lng': 28.07815361, 'neighborhood': 'Magaliesberg Country Estate', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-25.67864227294922, 28.073335647583008, -25.667055130004883, 28.090818405151367], 'name': 'Magaliesberg Country Estate, South Africa', 'point': {'type': 'Point', 'coordinates': [-25.6695652, 28.07815361]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Tshwane', 'countryRegion': 'South Africa', 'formattedAddress': 'Magaliesberg Country Estate, South Africa', 'locality': 'City of Tshwane', 'neighborhood': 'Magaliesberg Country Estate'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-25.6695652, 28.07815361], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Franschhoek,"{'address': 'Franschhoek, South Africa', 'bbox': {'northeast': [-33.87118911743164, 19.198793411254883], 'southwest': [-33.934932708740234, 19.093732833862305]}, 'city': 'Franschhoek', 'confidence': 4, 'country': 'South Africa', 'lat': -33.91412354, 'lng': 19.12263489, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-33.934932708740234, 19.093732833862305, -33.87118911743164, 19.198793411254883], 'name': 'Franschhoek, South Africa', 'point': {'type': 'Point', 'coordinates': [-33.91412354, 19.12263489]}, 'address': {'adminDistrict': 'WC', 'countryRegion': 'South Africa', 'formattedAddress': 'Franschhoek, South Africa', 'locality': 'Franschhoek'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [-33.91412354, 19.12263489], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'WC', 'status': 'OK'}"
