price,area,location
5320000,,Arcon Park
,,
3000000,,Geduld Ext 1
,,
2995000,,Soshanguve L
,,
1780000,,Mohlakeng
,,
1299000,,Greenhills
,,
850000,,Brackenhurst
,,
2920000,,Vanderbijlpark SE 6
,,
1175000,,Meyersdal
,,
1700000,,Blue Valley Golf Estate
,,
23500000,,Vanderbijlpark CE 2
,,
2295000,,Risiville
,,
4250000,,Greymont
,,
4195000,,Thatch Hill Estate
,,
4500000,,Chartwell
,,
3950000,,Centurion Central
,,
3300000,,Duduza
,,
5800000,,Dorandia
,,
3839400,,Salfin
,,
950000,,Vanderbijlpark CE 3
,,
1595000,,Solheim
,,
800000,,Savanna City
,,
10500000,,Soshanguve XX
,,
2790000,,Eikenhof
,,
2850000,,Persida
,,
650000,,Gerdview
,,
1175000,,Magaliessig
,,
1500000,,Montana
,,
1050000,,Westonaria
,,
2550000,,Magalieskruin
,,
2495000,,The Reeds
,,
2100000,,Bramley
,,
1480000,,Orange Farm
,,
1300000,,Summerset
,,
1950000,,Sundowner
,,
1750000,,Wonderboom
,,
747000,,Edleen
,,
2250000,,Midstream Estate
,,
700000,,Avianto Estates
,,
880000,,Montana
,,
640000,,Arcon Park
,,
6500000,,Soshanguve V
,,
799000,,Country View
,,
1850000,,Monument Park
,,
4499000,,Parkhurst
,,
4750000,,Roodepoort North
,,
1639000,,Diepkloof
,,
780000,,Kirkney
,,
1095000,,Stretford
,,
1495000,,Rensburg
,,
699000,,Three Rivers East
,,
765000,,Rosashof
,,
1990000,,Inanda
,,
9800000,,Protea Glen
,,
2099000,,Crystal Park
,,
1198500,,Zambezi Manor Lifestyle Estate
,,
2365000,,Modder East
,,
1750000,,Nieuw Muckleneuk
,,
1200000,,Leopard's Rest Security Estate
,,
2650000,,Kempton Park Central
,,
699000,,Stretford
,,
8950000,,Raslouw
,,
700000,,Eldoraigne
,,
845000,,Olievenhoutbosch
,,
1450000,,Mapleton
,,
1575000,,Cullinan
,,
800000,,Robindale
,,
3200000,,Willaway
,,
1195000,,Kungwini Country Estate
,,
819000,,Meadowlands East
,,
950000,,River Club
,,
2950000,,Arcadia
,,
1450000,,Misty Bay
,,
1600000,,Dorandia
,,
4500000,,Three Rivers East
,,
750000,,Duncanville
,,
18500000,,The Orchards
,,
849500,,Greenside
,,
1600000,,Bloubosrand
,,
649000,,Mabopane  Unit B
,,
4200000,,Buccleuch
,,
2100000,,Helderwyk
,,
880000,,Lenasia South
,,
1150000,,Vanderbijlpark SW 2
,,
1250000,,Dawn Park
,,
640000,,Observatory
,,
1999000,,Terenure
,,
8150000,,Bryanston
,,
548000,,East Town
,,
5900000,,Birchleigh North
,,
690000,,Rietvalleirand
,,
1104190,,Roodekop
,,
2000000,,Benoni AH
,,
769050,,Dayanglen
,,
5200000,,Turf Club
,,
2099000,,Bezuidenhout Valley
,,
1775000,,Brackendowns
,,
1645000,,Lyttelton Manor
,,
900000,,Sandringham
,,
1220000,,Waverley
,,
600000,,Sagewood
,,
3450000,,Verwoerdpark
,,
970000,,Silverton
,,
11900000,,Vanderbijlpark SE 7
,,
620000,,Soshanguve WW
,,
2050000,,Sydenham
,,
631000,,Cornwall Hill
,,
739000,,Dersley
,,
879000,,Naledi
,,
1470000,,Three Rivers Proper
,,
6910000,,Lotus Gardens
,,
1850000,,Parkwood
,,
3995000,,Forest Hill
,,
1275000,,Soshanguve South Ext 4
,,
620000,,Monavoni
,,
5900000,,Bram Fischerville
,,
5900000,,Hillside
,,
1350000,,Fleurhof
,,
950000,,Randgate
,,
2812100,,Randgate
,,
1850000,,Greenstone Hill
,,
640000,,Stone Ridge
,,
1650000,,La Como Lifestyle Estate
,,
3850000,,Midstream Heights
,,
1130000,,Marais Steyn Park
,,
1280000,,Kanana Park
,,
3895000,,Blairgowrie
,,
1085000,,Florida Park
,,
1240000,,Zwavelpoort AH
,,
2795000,,Pretoria North
,,
990000,,Actonville
,,
1500000,,Mmesi Park
,,
2750000,,Witfield
,,
779000,,Savannah Country Estate
,,
781715,,Atholl
,,
787500,,North Riding
,,
2299000,,Etwatwa
,,
1150000,,Protea Glen
,,
1213000,,Randjesfontein AH
,,
2650000,,Helderwyk
,,
380000,,Brackenhurst
,,
8500000,,Glen Marais
,,
1850000,,Florida Park
,,
4920000,,Yeoville
,,
2300000,,Helderkruin
,,
1250000,,Elspark
,,
980000,,Jabavu
,,
900000,,Soshanguve East
,,
2730000,,Sharonlea
,,
1485000,,Fochville
,,
7990000,,Morningside
,,
1600000,,The Hill
,,
290000,,Emoyeni
,,
6500000,,Mountain View
,,
2850000,,Farrarmere
,,
1599000,,Witkoppen
,,
8999000,,Blue Hills
,,
2500000,,Aquavista Mountain Estate
,,
2790000,,Rosettenville
,,
1899000,,Observatory
,,
735000,,Soshanguve AA
,,
680000,,Heuwelsig Estate
,,
2290000,,Lynnwood
,,
791320,,Featherbrooke Estate
,,
999999,,Crystal Park
,,
1495000,,Soshanguve East
,,
1599999,,Unitas Park
,,
1595000,,Bassonia
,,
673000,,Parkhurst
,,
250000,,Riverlea
,,
11000000,,Lehae
,,
945000,,Pomona
,,
5899000,,Highway Gardens
,,
7500000,,Mooikloof Equestrian Estate
,,
5250000,,Edendale
,,
