price,area,location
820000,83,Sunnyside

999000,114,Sagewood

599000,83,Sandown

650000,48,Northgate

870000,112,Benoni North

1490000,89,Esther Park

580000,74,Sunnyside

3800000,996,Brentwood Park

1250000,49,Silverton

800000,71,Solheim

740000,54,Sunninghill

835000,34,Sandringham

700000,70,Sunnyside

550000,65,Meyerton Central

750000,46,Florida

0,87,Riverside View

1950000,99,Greenstone Ridge

700000,47,New Redruth

2650000,74,Terenure

725000,90,Parktown

850000,70,Bedfordview

525000,52,Monavoni

530000,89,Sunnyside

630000,40,Hyde Park

730000,67,Florida

845000,277,Featherbrooke Hills Retirement Village

1479900,80,Paulshof

1200000,126,Horizon View

590000,71,Alveda

1850000,90,Kew

2189000,84,Arcadia

965000,61,Carlswald

1350000,108,Greenstone Hill

1749000,76,Fourways

750000,92,Six Fountains Residential Estate

1050000,80,Roodekrans

1350000,64,Arcadia

810000,115,Sunnyside

1750000,57,Denlee

859900,107,Florida

850650,115,Paulshof

2500000,65,Clarina

1620000,75,Rivonia

2599000,81,Craigavon

959900,111,Waterfall Heights

380000,69,Maboneng

1200000,48,Melrose

1000000,119,Montgomery Park

960000,74,Magalieskruin

799000,57,Pretoria North

599000,84,Irene

450000,61,Oakdene

1295000,68,Oukraal Estate

450000,99,Sandton Central

860000,58,Randpoort

500000,79,Ridgeway

470000,68,Melrose

485000,240,Doringkloof

1099900,80,North Riding

650000,61,Ruimsig

745000,98,Hyde Park

640000,65,Summerset

649000,68,Sandton Central

580000,184,Wilgeheuwel

1190000,47,Morningside

800000,55,New Doornfontein

799000,61,Wilgeheuwel

800000,175,Mamelodi

975000,68,Riverside View

1260000,56,Raslouw

875000,53,Wapadrand

830000,105,The Reeds

639999,54,Eveleigh

580000,56,Erand Gardens

560000,75,Monavoni

810000,97,Broadacres

850000,76,Sandton Central

695000,125,Moffat View

3500000,65,Arcadia

830000,58,Ferndale

399000,107,Heuwelsig Estate

1985000,88,Ferndale

800000,63,Ferndale

740000,60,Louwlardia

1199000,64,Morningside

1519900,140,Sandown

760000,116,Glenadrienne

1190000,66,Ferndale

565000,48,Noordwyk

590000,75,Melrose North

1350000,87,Theresapark

520000,50,Rosebank

835000,64,Union

750000,41,Waterfall

4499000,92,Morningside

445000,82,Douglasdale

870000,94,Hillbrow

699000,125,Weltevreden Park

1500000,133,Sandton Central

750000,49,Buccleuch

710000,57,Kempton Park Ext 4

695000,48,Florida

899000,62,Sunnyside

460000,74,Noordwyk

899000,111,Pretoria West

250000,74,Ferndale

390000,64,Modderfontein

399000,58,Sandown

1800000,79,Northwold

550000,107,Parkdene

810000,91,Modderfontein

750000,95,Lyndhurst

750000,110,Ormonde

630000,81,Sandringham

2650000,36,Andeon

750000,57,Saxonwold

930000,82,Newtown

950000,82,Yeoville

580000,90,Killarney

999900,74,Hereford Estate

360000,62,Arcon Park

995000,75,North Riding

999000,91,Sandown

760000,44,Morningside

750000,43,Palm Ridge

1200000,75,Dainfern

1795000,93,Sandton Central

450000,12874,Jukskei Park

1600000,82,Montana

800000,59,Parkview

1200000,78,Houghton Estate

660000,60,Theresapark

575000,95,Bedford Gardens

665000,50,Pretoria Central

2395000,80,Magalieskruin

765000,91,Lynnwood Ridge

