price,area,location
4800000,0,Glen Marais
,0,
330000,0,Klerksoord
,0,
740000,0,Mid Ennerdale
,0,
7650000,0,The Orchards
,0,
4900000,0,Hectorton
,0,
3700000,0,Ormonde
,0,
6800000,0,Fleurhof
,0,
815560,0,Randpark Ridge
,0,
550000,0,Broadacres
,0,
12950000,0,Farrarmere
,0,
2950000,0,Sunward Park
,0,
948880,0,Magalieskruin
,0,
1750000,0,New Market Park
,0,
910000,0,Roodepoort
,0,
0,0,Edenvale Central
,0,
1300000,0,Andeon
,0,
2100000,0,Kempton Park Central
,0,
800000,0,Parkmore
,0,
1521000,0,Soshanguve UU
,0,
2700000,0,Forest Hill
,0,
2550000,0,Hurlingham
,0,
1924200,0,Birch Acres
,0,
2285000,0,Ebony Park
,0,
999950,0,Greenhills
,0,
649900,0,Windmill Park
,0,
5320000,0,Arcon Park
,0,
3000000,0,Geduld Ext 1
,0,
2995000,0,Soshanguve L
,0,
1780000,0,Mohlakeng
,0,
1299000,0,Greenhills
,0,
850000,0,Brackenhurst
,0,
2920000,0,Vanderbijlpark SE 6
,0,
1175000,0,Meyersdal
,0,
1700000,0,Blue Valley Golf Estate
,0,
23500000,0,Vanderbijlpark CE 2
,0,
2295000,0,Risiville
,0,
4250000,0,Greymont
,0,
4195000,0,Thatch Hill Estate
,0,
4500000,0,Chartwell
,0,
3950000,0,Centurion Central
,0,
3300000,0,Duduza
,0,
5800000,0,Dorandia
,0,
3839400,0,Salfin
,0,
950000,0,Vanderbijlpark CE 3
,0,
1595000,0,Solheim
,0,
800000,0,Savanna City
,0,
10500000,0,Soshanguve XX
,0,
2790000,0,Eikenhof
,0,
2850000,0,Persida
,0,
650000,0,Gerdview
,0,
1175000,0,Magaliessig
,0,
1500000,0,Montana
,0,
1050000,0,Westonaria
,0,
2550000,0,Magalieskruin
,0,
2495000,0,The Reeds
,0,
2100000,0,Bramley
,0,
1480000,0,Orange Farm
,0,
1300000,0,Summerset
,0,
1950000,0,Sundowner
,0,
1750000,0,Wonderboom
,0,
747000,0,Edleen
,0,
2250000,0,Midstream Estate
,0,
700000,0,Avianto Estates
,0,
880000,0,Montana
,0,
640000,0,Arcon Park
,0,
6500000,0,Soshanguve V
,0,
799000,0,Country View
,0,
1850000,0,Monument Park
,0,
4499000,0,Parkhurst
,0,
4750000,0,Roodepoort North
,0,
1639000,0,Diepkloof
,0,
780000,0,Kirkney
,0,
1095000,0,Stretford
,0,
1495000,0,Rensburg
,0,
699000,0,Three Rivers East
,0,
765000,0,Rosashof
,0,
1990000,0,Inanda
,0,
9800000,0,Protea Glen
,0,
2099000,0,Crystal Park
,0,
1198500,0,Zambezi Manor Lifestyle Estate
,0,
2365000,0,Modder East
,0,
1750000,0,Nieuw Muckleneuk
,0,
1200000,0,Leopard's Rest Security Estate
,0,
2650000,0,Kempton Park Central
,0,
699000,0,Stretford
,0,
8950000,0,Raslouw
,0,
700000,0,Eldoraigne
,0,
845000,0,Olievenhoutbosch
,0,
1450000,0,Mapleton
,0,
1575000,0,Cullinan
,0,
800000,0,Robindale
,0,
3200000,0,Willaway
,0,
1195000,0,Kungwini Country Estate
,0,
819000,0,Meadowlands East
,0,
950000,0,River Club
,0,
2950000,0,Arcadia
,0,
1450000,0,Misty Bay
,0,
1600000,0,Dorandia
,0,
4500000,0,Three Rivers East
,0,
750000,0,Duncanville
,0,
18500000,0,The Orchards
,0,
849500,0,Greenside
,0,
1600000,0,Bloubosrand
,0,
649000,0,Mabopane  Unit B
,0,
4200000,0,Buccleuch
,0,
2100000,0,Helderwyk
,0,
880000,0,Lenasia South
,0,
1150000,0,Vanderbijlpark SW 2
,0,
1250000,0,Dawn Park
,0,
640000,0,Observatory
,0,
1999000,0,Terenure
,0,
8150000,0,Bryanston
,0,
548000,0,East Town
,0,
5900000,0,Birchleigh North
,0,
690000,0,Rietvalleirand
,0,
1104190,0,Roodekop
,0,
2000000,0,Benoni AH
,0,
769050,0,Dayanglen
,0,
5200000,0,Turf Club
,0,
2099000,0,Bezuidenhout Valley
,0,
1775000,0,Brackendowns
,0,
1645000,0,Lyttelton Manor
,0,
900000,0,Sandringham
,0,
1220000,0,Waverley
,0,
600000,0,Sagewood
,0,
3450000,0,Verwoerdpark
,0,
970000,0,Silverton
,0,
11900000,0,Vanderbijlpark SE 7
,0,
620000,0,Soshanguve WW
,0,
2050000,0,Sydenham
,0,
631000,0,Cornwall Hill
,0,
739000,0,Dersley
,0,
879000,0,Naledi
,0,
1470000,0,Three Rivers Proper
,0,
6910000,0,Lotus Gardens
,0,
1850000,0,Parkwood
,0,
3995000,0,Forest Hill
,0,
1275000,0,Soshanguve South Ext 4
,0,
620000,0,Monavoni
,0,
5900000,0,Bram Fischerville
,0,
5900000,0,Hillside
,0,
1350000,0,Fleurhof
,0,
950000,0,Randgate
,0,
2812100,0,Randgate
,0,
1850000,0,Greenstone Hill
,0,
640000,0,Stone Ridge
,0,
1650000,0,La Como Lifestyle Estate
,0,
3850000,0,Midstream Heights
,0,
1130000,0,Marais Steyn Park
,0,
1280000,0,Kanana Park
,0,
3895000,0,Blairgowrie
,0,
1085000,0,Florida Park
,0,
1240000,0,Zwavelpoort AH
,0,
2795000,0,Pretoria North
,0,
990000,0,Actonville
,0,
1500000,0,Mmesi Park
,0,
2750000,0,Witfield
,0,
779000,0,Savannah Country Estate
,0,
781715,0,Atholl
,0,
787500,0,North Riding
,0,
2299000,0,Etwatwa
,0,
1150000,0,Protea Glen
,0,
1213000,0,Randjesfontein AH
,0,
2650000,0,Helderwyk
,0,
380000,0,Brackenhurst
,0,
8500000,0,Glen Marais
,0,
1850000,0,Florida Park
,0,
4920000,0,Yeoville
,0,
2300000,0,Helderkruin
,0,
1250000,0,Elspark
,0,
980000,0,Jabavu
,0,
900000,0,Soshanguve East
,0,
2730000,0,Sharonlea
,0,
1485000,0,Fochville
,0,
7990000,0,Morningside
,0,
1600000,0,The Hill
,0,
290000,0,Emoyeni
,0,
6500000,0,Mountain View
,0,
2850000,0,Farrarmere
,0,
1599000,0,Witkoppen
,0,
8999000,0,Blue Hills
,0,
2500000,0,Aquavista Mountain Estate
,0,
2790000,0,Rosettenville
,0,
1899000,0,Observatory
,0,
735000,0,Soshanguve AA
,0,
680000,0,Heuwelsig Estate
,0,
2290000,0,Lynnwood
,0,
791320,0,Featherbrooke Estate
,0,
999999,0,Crystal Park
,0,
1495000,0,Soshanguve East
,0,
1599999,0,Unitas Park
,0,
1595000,0,Bassonia
,0,
673000,0,Parkhurst
,0,
250000,0,Riverlea
,0,
11000000,0,Lehae
,0,
945000,0,Pomona
,0,
5899000,0,Highway Gardens
,0,
7500000,0,Mooikloof Equestrian Estate
,0,
5250000,0,Edendale
,0,
4998990,0,Soshanguve F
,0,
650000,0,Soshanguve CC
,0,
1300000,0,Kirkney
,0,
788000,0,Protea Glen
,0,
500000,0,Pretoria West
,0,
735000,0,Wingate Park
,0,
5995000,0,Theresapark
,0,
675800,0,Rynfield
,0,
1980000,0,Edendale
,0,
1054823,0,Crystal Park
,0,
2799999,0,Mohlakeng
,0,
10750000,0,Crystal Park
,0,
2950000,0,Culemborg Park
,0,
5400000,0,Mooilande
,0,
1785000,0,Atholl
,0,
3400000,0,Vorna Valley
,0,
2999000,0,Bram Fischerville
,0,
4199000,0,Orange Grove
,0,
12000000,0,Melrose
,0,
350000,0,Sonland Park
,0,
1290000,0,Kungwini Country Estate
,0,
675000,0,Karenpark
,0,
700000,0,Evaton Central
,0,
3200000,0,Heatherview
,0,
2961000,0,Buurendal
,0,
1690000,0,Rietvalleirand
,0,
680000,0,Albertsdal
,0,
0,0,Steyn City
,0,
0,0,Eye Of Africa Estate
,0,
2549000,0,Beverley
,0,
3500000,0,Capital Park
,0,
1450000,0,Fochville
,0,
1752000,0,Valley View Estate
,0,
699999,0,Hurlingham
,0,
2650000,0,Soshanguve East Ext 4
,0,
1234900,0,Danville
,0,
400000,0,Dinokeng Game Reserve
,0,
699000,0,Shalimar Ridge
,0,
708000,0,Pretoria North
,0,
5690000,0,Ferndale
,0,
2499000,0,Edenburg
,0,
1710000,0,Cosmo City
,0,
1775000,0,Rua Vista
,0,
710000,0,Constantia Kloof
,0,
1370000,0,Orange Grove
,0,
1150000,0,Dalpark Ext 1
,0,
907952,0,Golf Park
,0,
1345000,0,Lenasia South
,0,
4599000,0,Midstream Ridge Estate
,0,
2350000,0,Kenmare
,0,
999999,0,Capital Park
,0,
999000,0,Tshepisong
,0,
6480000,0,Kempton Park West
,0,
4800000,0,Arcadia
,0,
1895000,0,Birchleigh North
,0,
855000,0,Aston Lake
,0,
14995000,0,Pretoria West
,0,
280000,0,Protea North
,0,
1985000,0,Regents Park
,0,
1599000,0,Krugersdorp Central
,0,
2280000,0,Vosloorus
,0,
1399000,0,Faerie Glen
,0,
2895000,0,Three Rivers
,0,
2998000,0,Westonaria
,0,
3250000,0,Van Riebeeck Park
,0,
1200000,0,Lombardy Estate
,0,
