Alberante,"{'address': 'Alberante, South Africa', 'bbox': {'northeast': [-26.259836196899414, 28.11320686340332], 'southwest': [-26.274274826049805, 28.09581184387207]}, 'city': 'Brakpan', 'confidence': 7, 'country': 'South Africa', 'lat': -26.26472282, 'lng': 28.10201263, 'neighborhood': 'Alberante', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.274274826049805, 28.09581184387207, -26.259836196899414, 28.11320686340332], 'name': 'Alberante, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.26472282, 28.10201263]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'Ekurhuleni', 'countryRegion': 'South Africa', 'formattedAddress': 'Alberante, South Africa', 'locality': 'Brakpan', 'neighborhood': 'Alberante'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.26472282, 28.10201263], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Alberton Central,"{'address': 'Alberton, South Africa', 'bbox': {'northeast': [-26.245012283325195, 28.150415420532227], 'southwest': [-26.390756607055664, 28.065645217895508]}, 'city': 'Alberton', 'confidence': 3, 'country': 'South Africa', 'lat': -26.2600708, 'lng': 28.1278286, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.390756607055664, 28.065645217895508, -26.245012283325195, 28.150415420532227], 'name': 'Alberton, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.2600708, 28.1278286]}, 'address': {'adminDistrict': 'GT', 'countryRegion': 'South Africa', 'formattedAddress': 'Alberton, South Africa', 'locality': 'Alberton'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.2600708, 28.1278286], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Alberton North,"{'address': 'Alberton North, South Africa', 'bbox': {'northeast': [-26.24575424194336, 28.1458797454834], 'southwest': [-26.258285522460938, 28.128047943115234]}, 'city': 'Brakpan', 'confidence': 7, 'country': 'South Africa', 'lat': -26.25294876, 'lng': 28.13747025, 'neighborhood': 'Alberton North', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.258285522460938, 28.128047943115234, -26.24575424194336, 28.1458797454834], 'name': 'Alberton North, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.25294876, 28.13747025]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'Ekurhuleni', 'countryRegion': 'South Africa', 'formattedAddress': 'Alberton North, South Africa', 'locality': 'Brakpan', 'neighborhood': 'Alberton North'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.25294876, 28.13747025], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Albertsdal,"{'address': 'Albertsdal, South Africa', 'bbox': {'northeast': [-26.340131759643555, 28.118560791015625], 'southwest': [-26.372400283813477, 28.09670639038086]}, 'city': 'Alberton', 'confidence': 7, 'country': 'South Africa', 'lat': -26.36453819, 'lng': 28.10959053, 'neighborhood': 'Albertsdal', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.372400283813477, 28.09670639038086, -26.340131759643555, 28.118560791015625], 'name': 'Albertsdal, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.36453819, 28.10959053]}, 'address': {'adminDistrict': 'GT', 'countryRegion': 'South Africa', 'formattedAddress': 'Albertsdal, South Africa', 'locality': 'Alberton', 'neighborhood': 'Albertsdal'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.36453819, 28.10959053], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Albertskroon,"{'address': 'Alberts Farm, South Africa', 'bbox': {'northeast': [-26.153213500976562, 27.97593116760254], 'southwest': [-26.163005828857422, 27.96484375]}, 'city': 'Johannesburg', 'confidence': 7, 'country': 'South Africa', 'lat': -26.1583252, 'lng': 27.97209549, 'neighborhood': 'Alberts Farm', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.163005828857422, 27.96484375, -26.153213500976562, 27.97593116760254], 'name': 'Alberts Farm, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.1583252, 27.97209549]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Johannesburg', 'countryRegion': 'South Africa', 'formattedAddress': 'Alberts Farm, South Africa', 'locality': 'Johannesburg', 'neighborhood': 'Alberts Farm'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.1583252, 27.97209549], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Albertville,"{'address': 'Albertville, Savoie, France', 'bbox': {'northeast': [45.68825149536133, 6.46042537689209], 'southwest': [45.64110565185547, 6.359577178955078]}, 'city': 'Albertville', 'confidence': 5, 'country': 'France', 'lat': 45.6775856, 'lng': 6.39170933, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [45.64110565185547, 6.359577178955078, 45.68825149536133, 6.46042537689209], 'name': 'Albertville, Savoie, France', 'point': {'type': 'Point', 'coordinates': [45.6775856, 6.39170933]}, 'address': {'adminDistrict': 'Auvergne-Rhône-Alpes', 'adminDistrict2': 'Savoie', 'countryRegion': 'France', 'formattedAddress': 'Albertville, Savoie, France', 'locality': 'Albertville'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [45.6775856, 6.39170933], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'Auvergne-Rhône-Alpes', 'status': 'OK'}"
Alexandra,"{'address': 'Alexandra, South Africa', 'bbox': {'northeast': [-26.087440490722656, 28.124958038330078], 'southwest': [-26.116151809692383, 28.085527420043945]}, 'city': 'Alexandra', 'confidence': 6, 'country': 'South Africa', 'lat': -26.10955811, 'lng': 28.09581375, 'ok': True, 'quality': 'PopulatedPlace', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.116151809692383, 28.085527420043945, -26.087440490722656, 28.124958038330078], 'name': 'Alexandra, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.10955811, 28.09581375]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Johannesburg', 'countryRegion': 'South Africa', 'formattedAddress': 'Alexandra, South Africa', 'locality': 'Alexandra'}, 'confidence': 'High', 'entityType': 'PopulatedPlace', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.10955811, 28.09581375], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Alexandra East Bank,"{'address': 'Alexandra East Bank, South Africa', 'bbox': {'northeast': [-26.094141006469727, 28.11379051208496], 'southwest': [-26.109634399414062, 28.103233337402344]}, 'city': 'Johannesburg', 'confidence': 7, 'country': 'South Africa', 'lat': -26.09924889, 'lng': 28.10834885, 'neighborhood': 'Alexandra East Bank', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [-26.109634399414062, 28.103233337402344, -26.094141006469727, 28.11379051208496], 'name': 'Alexandra East Bank, South Africa', 'point': {'type': 'Point', 'coordinates': [-26.09924889, 28.10834885]}, 'address': {'adminDistrict': 'GT', 'adminDistrict2': 'City of Johannesburg', 'countryRegion': 'South Africa', 'formattedAddress': 'Alexandra East Bank, South Africa', 'locality': 'Johannesburg', 'neighborhood': 'Alexandra East Bank'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [-26.09924889, 28.10834885], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'GT', 'status': 'OK'}"
Allandale,"{'address': 'Allandale, TX', 'bbox': {'northeast': [30.361303329467773, -97.73088073730469], 'southwest': [30.32502555847168, -97.75569915771484]}, 'city': 'Austin', 'confidence': 7, 'country': 'United States', 'lat': 30.34323883, 'lng': -97.74458313, 'neighborhood': 'Allandale', 'ok': True, 'quality': 'Neighborhood', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [30.32502555847168, -97.75569915771484, 30.361303329467773, -97.73088073730469], 'name': 'Allandale, TX', 'point': {'type': 'Point', 'coordinates': [30.34323883, -97.74458313]}, 'address': {'adminDistrict': 'TX', 'adminDistrict2': 'Travis County', 'countryRegion': 'United States', 'formattedAddress': 'Allandale, TX', 'locality': 'Austin', 'neighborhood': 'Allandale'}, 'confidence': 'High', 'entityType': 'Neighborhood', 'geocodePoints': [{'type': 'Point', 'coordinates': [30.34323883, -97.74458313], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'TX', 'status': 'OK'}"
Allen Grove,"{'address': 'Allen Grove, AL', 'bbox': {'northeast': [32.43275294584216, -87.76889996445722], 'southwest': [32.42502751070081, -87.7811030873006]}, 'confidence': 7, 'country': 'United States', 'lat': 32.42889023, 'lng': -87.77500153, 'ok': True, 'quality': 'HistoricalSite', 'raw': {'__type': 'Location:http://schemas.microsoft.com/search/local/ws/rest/v1', 'bbox': [32.42502751070081, -87.7811030873006, 32.43275294584216, -87.76889996445722], 'name': 'Allen Grove, AL', 'point': {'type': 'Point', 'coordinates': [32.42889023, -87.77500153]}, 'address': {'adminDistrict': 'AL', 'countryRegion': 'United States', 'formattedAddress': 'Allen Grove, AL'}, 'confidence': 'High', 'entityType': 'HistoricalSite', 'geocodePoints': [{'type': 'Point', 'coordinates': [32.42889023, -87.77500153], 'calculationMethod': 'Rooftop', 'usageTypes': ['Display']}], 'matchCodes': ['Good']}, 'state': 'AL', 'status': 'OK'}"
